model_id,model_label,family,architecture,params_b,quantization,precision_bits,hardware_profile,workload,score,is_correct,load_s,total_latency_s,tokens_per_sec,tokens_per_joule,active_tokens_per_joule,estimated_active_tokens_per_joule,active_device_energy_j,measured_active_device_energy_j,estimated_active_device_energy_j,cpu_energy_estimate_j,cpu_energy_measured_j,net_gpu_energy_j,total_energy_j,gpu_power_avg_w,gpu_mem_peak_mb,energy_sample_interval_s,energy_sample_frequency_hz,cost_per_request_usd,input_tokens,output_tokens,total_tokens,cpu_energy_source,gpu_energy_source,cpu_energy_measured,gpu_energy_measured
codellama-7b-q8,CodeLlama 7B Q8,CodeLlama,LLaMA,7.0,q8,8,l40s_gpu,semantic_search,1.0,1.0,0.022747901,0.3051873993333629,95.29395098584958,0.3395565667178348,0.41365669466790206,,62.04631928567144,62.04631928567144,,2.4540078323401815,,62.04631928567144,74.00957741301848,264.1656666666667,16191.958333333334,0.10000000000000002,10.0,0.0001310299228984,143.0,24.0,167.0,tdp_estimate,nvml,False,True
codellama-7b-q8,CodeLlama 7B Q8,CodeLlama,LLaMA,7.0,q8,8,l40s_gpu,summarization,0.08333333333333333,0.0,0.022083303999999998,1.6927025680000345,92.29419386919064,0.32757570950021564,0.40024971055016634,,374.7933049489641,374.7933049489641,,30.955773786987447,,374.7933049489641,458.4359811366656,266.58496078431375,16190.625,0.10000000000000002,10.0,0.0007284026500290001,79.33333333333333,150.0,229.33333333333334,tdp_estimate,nvml,False,True
deepseek-coder-6.7b-q4,DeepSeek Coder 6.7B Q4,DeepSeek Coder,DeepSeek,6.7,q4,4,l40s_gpu,chat_completion,0.7777777777777777,0.3333333333333333,0.033486251,1.0191155589999805,149.24367092354188,0.44498941818054844,0.5190487367683494,,269.9001272806649,269.9001272806649,,13.42696381975321,,269.9001272806649,315.0530409239566,299.9282424242424,13318.625,0.10000000000000002,10.0,0.0004405650638517,94.66666666666667,140.0,234.66666666666666,tdp_estimate,nvml,False,True
deepseek-coder-6.7b-q4,DeepSeek Coder 6.7B Q4,DeepSeek Coder,DeepSeek,6.7,q4,4,l40s_gpu,code_generation,0.5,0.5,0.0430580925,1.2179028639999387,147.88752004544205,0.4331990534250223,0.5292516306236624,,315.1342332056326,315.1342332056326,,30.783414467634614,,315.1342332056326,383.82896999819116,292.69636904761904,13316.625,0.1,10.0,0.00052682637704155,125.0,166.5,291.5,tdp_estimate,nvml,False,True
deepseek-coder-6.7b-q4,DeepSeek Coder 6.7B Q4,DeepSeek Coder,DeepSeek,6.7,q4,4,l40s_gpu,semantic_search,1.0,1.0,0.03339879266666667,0.2149388479999743,153.14883527262828,0.39558871978176136,0.4685167435258551,,51.33505944135741,51.33505944135741,,2.689570212985912,,51.33505944135741,60.72692456345354,285.46933333333334,13318.625,0.10000000000000002,10.0,9.278048567262273e-05,205.33333333333334,24.0,229.33333333333334,tdp_estimate,nvml,False,True
deepseek-coder-6.7b-q4,DeepSeek Coder 6.7B Q4,DeepSeek Coder,DeepSeek,6.7,q4,4,l40s_gpu,summarization,0.8333333333333334,1.0,0.034428799,1.0964644020000378,147.89322699413748,0.47920027859894393,0.5788634272006025,,259.15139059227863,259.15139059227863,,20.61523934186991,,259.15139059227863,313.89973974642686,291.85372727272727,13318.625,0.10000000000000002,10.0,0.00047273941851503335,146.33333333333334,150.0,296.3333333333333,tdp_estimate,nvml,False,True
gemma-2b-q4,Gemma 2B Q4,Gemma,Gemma,2.0,q4,4,l40s_gpu,chat_completion,0.6666666666666666,0.0,0.14870928433333333,0.5976392789999257,325.15379421603944,1.0729906081560994,1.3487058304524773,,94.99922421291836,94.99922421291836,,5.7118650235020985,,94.99922421291836,119.32213893778874,199.08398412698412,3574.625,0.10000000000000002,10.0,0.00025516920264126664,46.0,128.0,174.0,tdp_estimate,nvml,False,True
gemma-2b-q4,Gemma 2B Q4,Gemma,Gemma,2.0,q4,4,l40s_gpu,code_generation,0.0,0.0,0.154000573,0.7154885080000213,323.7742647571732,1.4228011250335935,1.9636081965005319,,87.68230818126575,87.68230818126575,,6.755895080318195,,87.68230818126575,116.71616185553202,172.09859821428572,3574.625,0.1,10.0,0.00030413903850945,72.0,160.5,232.5,tdp_estimate,nvml,False,True
gemma-2b-q4,Gemma 2B Q4,Gemma,Gemma,2.0,q4,4,l40s_gpu,semantic_search,0.6666666666666666,0.6666666666666666,0.16964474533333332,0.21533450966664225,362.8343171441722,0.22657280207968858,0.3896966450054098,,21.348627151245562,21.348627151245562,,8.134173112202388,,21.348627151245562,36.19486681691671,198.53966666666668,3575.2916666666665,0.10000000000000002,10.0,9.168472570189648e-05,143.66666666666666,9.666666666666666,153.33333333333334,tdp_estimate,nvml,False,True
gemma-2b-q4,Gemma 2B Q4,Gemma,Gemma,2.0,q4,4,l40s_gpu,summarization,1.0,1.0,0.14814491100000002,0.40696389733329846,325.8111479697023,1.0317572004519617,1.3530627757423803,,54.52426187243009,54.52426187243009,,3.6455198861179254,,54.52426187243009,70.84722710479043,198.71358333333333,3574.625,0.10000000000000002,10.0,0.0001732941312163,89.33333333333333,72.33333333333333,161.66666666666666,tdp_estimate,nvml,False,True
