workload,model_label,model,hardware_profile,hardware_label,request_wall_s,network_s,tokenization_s,inference_s,postprocess_s,total_latency_s,input_tokens,output_tokens,total_tokens,cpu_energy_j,gpu_energy_j,total_energy_j,api_cost_usd,energy_cost_usd,hardware_cost_usd,total_cost_usd,cost_per_1k_tokens_usd,energy_j_per_1k_tokens,active_device_energy_j,active_device_energy_j_per_1k_tokens,accuracy,series_label
chat,Mistral Small 3.2 24B,mistral-small3.2:24b,cpu,CPU / num_gpu=0,14.247002863399938,0.00494321199993853,1.441420565,12.8006390864,2.405299983365694e-06,14.247005268699922,44.4,96.0,140.4,894.876088641767,662.7352132364368,1557.611301878204,0.0,7.788056509391019e-05,0.0,7.788056509391019e-05,0.00055479855293981,11095.971058797213,894.876088641767,6375.521328491681,,Mistral Small 3.2 24B | CPU / num_gpu=0
chat,Mistral Small 3.2 24B,mistral-small3.2:24b,gpu,A100 40GB / Ollama GPU,2.2419003824000354,0.00286359720003558,0.0394669241,2.1995698610999996,2.0290000520617467e-06,2.241902411400088,44.4,96.0,140.4,12.301376841672996,567.8564033376167,580.1577801792897,0.0,2.9007889008964482e-05,0.0,2.9007889008964482e-05,0.00020667945166715998,4133.5890333442085,567.8564033376167,4046.4085386981606,,Mistral Small 3.2 24B | A100 40GB / Ollama GPU
classification,Gemma 3 4B,gemma3:4b,cpu,CPU / num_gpu=0,0.7348418089999882,0.0026730658124881437,0.237036433,0.4951323101875,6.987562500171407e-06,0.7348487965624884,64.75,3.25,68.0,24.459053020792208,31.4213289971932,55.880382017985404,0.0,2.7940191008992704e-06,0.0,2.7940191008992704e-06,4.1046831658295e-05,820.9366331659,24.459053020792208,359.1520190216881,0.75,Gemma 3 4B | CPU / num_gpu=0
classification,Gemma 3 4B,gemma3:4b,gpu,A100 40GB / Ollama GPU,0.4639678805624783,0.0020809103124782373,0.0196201181875,0.4422668520625,5.890187480872555e-06,0.46397377074995916,64.75,3.25,68.0,2.49777020938769,25.444688120219432,27.942458329607124,0.0,1.397122916480356e-06,0.0,1.397122916480356e-06,2.060035057212489e-05,412.0070114424978,25.444688120219432,375.3044627842298,0.75,Gemma 3 4B | A100 40GB / Ollama GPU
classification,Llama 3.2 3B,llama3.2:3b,cpu,CPU / num_gpu=0,0.4267658260625637,0.0018378866250637,0.188057929375,0.23687001006249997,5.808250023164874e-06,0.4267716343125869,72.625,2.5,75.125,15.803708131111277,18.218496948090685,34.02220507920196,0.0,1.701110253960098e-06,0.0,1.701110253960098e-06,2.2544473049773855e-05,450.8894609954771,15.803708131111277,209.09646060960264,0.5,Llama 3.2 3B | CPU / num_gpu=0
classification,Llama 3.2 3B,llama3.2:3b,gpu,A100 40GB / Ollama GPU,0.2213567575000752,0.0017650642500751563,0.0124331188125,0.20715857443749996,6.973187510084244e-06,0.22136373068758528,72.625,2.375,75.0,1.1227215014848424,17.361507917276274,18.484229418761117,0.0,9.242114709380558e-07,0.0,9.242114709380558e-07,1.2345694451713031e-05,246.91388903426062,17.361507917276274,231.94156029076655,0.6875,Llama 3.2 3B | A100 40GB / Ollama GPU
classification,Mistral Small 3.2 24B,mistral-small3.2:24b,cpu,CPU / num_gpu=0,1.5732035485625886,0.0034354924375885314,1.14221441,0.427553646125,7.530249973797254e-06,1.5732110788125624,53.0,2.5,55.5,96.01819825955889,71.87018621306358,167.88838447262248,0.0,8.394419223631122e-06,0.0,8.394419223631122e-06,0.00015115521300585627,3023.1042601182817,96.01819825955889,1728.5890551904831,1.0,Mistral Small 3.2 24B | CPU / num_gpu=0
classification,Mistral Small 3.2 24B,mistral-small3.2:24b,gpu,A100 40GB / Ollama GPU,0.28631978656238743,0.0023927168123873874,0.0387412356875,0.2451858340625,5.695687463003196e-06,0.2863254822498504,53.0,2.5,55.5,1.5660834513862454,25.191634382808026,26.75771783419427,0.0,1.3378858917097135e-06,0.0,1.3378858917097135e-06,2.417827106309468e-05,483.5654212618936,25.191634382808026,455.27484501422794,1.0,Mistral Small 3.2 24B | A100 40GB / Ollama GPU
rag_rank,BGE-M3,bge-m3:latest,cpu,CPU / num_gpu=0,0.17933960537510524,0.0016163237501052375,0.0,0.177723281625,0.00045366087499582497,0.17979326625010114,17.0,0.0,17.0,2.483232608062669,4.740300145418924,7.223532753481594,0.0,3.611766376740797e-07,0.0,3.611766376740797e-07,2.134775777398274e-05,426.9551554796548,2.483232608062669,146.74029056608836,,BGE-M3 | CPU / num_gpu=0
rag_rank,BGE-M3,bge-m3:latest,gpu,A100 40GB / Ollama GPU,0.17308558649989433,0.0015640176248943125,0.0,0.171521568875,0.000420757000085775,0.17350634349998012,17.0,0.0,17.0,2.2485729304347104,5.642184667017059,7.89075759745177,0.0,3.9453787987258843e-07,0.0,3.9453787987258843e-07,2.3302235710384128e-05,466.04471420768255,5.642184667017059,333.2949000805132,,BGE-M3 | A100 40GB / Ollama GPU
rag_rank,Nomic Embed Text,nomic-embed-text:latest,cpu,CPU / num_gpu=0,0.030040263374985388,0.0015390327499853875,0.0,0.028501230625,0.0003605491251050375,0.030400812500090475,15.25,0.0,15.25,0.7203509388623184,4.670100000000001,5.390450938862319,0.0,2.6952254694311594e-07,0.0,2.6952254694311594e-07,1.7754539776458163e-05,355.0907955291633,0.7203509388623184,47.34821149554982,,Nomic Embed Text | CPU / num_gpu=0
rag_rank,Nomic Embed Text,nomic-embed-text:latest,gpu,A100 40GB / Ollama GPU,0.05319122000003058,0.001378941500030575,0.0,0.051812278499999996,0.0003241112499949375,0.05351533125002556,15.25,0.0,15.25,2.5971756717965784,7.209274364069318,9.806450035865897,0.0,4.903225017932948e-07,0.0,4.903225017932948e-07,3.195898608733754e-05,639.1797217467508,7.209274364069318,474.9457364018367,,Nomic Embed Text | A100 40GB / Ollama GPU
rag_rank,mxbai Embed Large,mxbai-embed-large:latest,cpu,CPU / num_gpu=0,0.0470108057499487,0.0015062719999487,0.0,0.04550453375,0.0004326711249973,0.04744347687494605,15.75,0.0,15.75,1.8970322675981128,4.6633000000000004,6.560332267598113,0.0,3.2801661337990565e-07,0.0,3.2801661337990565e-07,2.1014145662076414e-05,420.2829132415283,1.8970322675981128,121.65962455105208,,mxbai Embed Large | CPU / num_gpu=0
rag_rank,mxbai Embed Large,mxbai-embed-large:latest,gpu,A100 40GB / Ollama GPU,0.0329697401250541,0.0013491136250541,0.0,0.0316206265,0.0003701608750361,0.03333990100009029,15.75,0.0,15.75,0.678672907066184,5.822437500000001,6.501110407066185,0.0,3.250555203533093e-07,0.0,3.250555203533093e-07,2.0823765526093457e-05,416.4753105218692,5.822437500000001,372.6811408730159,,mxbai Embed Large | A100 40GB / Ollama GPU
summarization,Gemma 3 4B,gemma3:4b,cpu,CPU / num_gpu=0,4.509646110333354,0.0036758065000211,0.9918141088333333,3.514156195,2.4531667198364935e-06,4.5096485635000745,157.33333333333334,96.0,253.33333333333334,257.3021432932013,208.27782756379847,465.57997085699975,0.0,2.3278998542849985e-05,0.0,2.3278998542849985e-05,9.20710037971284e-05,1841.4200759427565,257.3021432932013,1017.7075801831216,,Gemma 3 4B | CPU / num_gpu=0
summarization,Gemma 3 4B,gemma3:4b,gpu,A100 40GB / Ollama GPU,1.1252198501666346,0.003325751833301334,0.0286661725,1.0932279258333335,1.9753333617700264e-06,1.1252218254999964,157.33333333333334,96.0,253.33333333333334,6.731947169180162,164.96670421731025,171.6986513864904,0.0,8.58493256932452e-06,0.0,8.58493256932452e-06,3.40257813406217e-05,680.5156268124339,164.96670421731025,653.8080534783611,,Gemma 3 4B | A100 40GB / Ollama GPU
summarization,Llama 3.2 3B,llama3.2:3b,cpu,CPU / num_gpu=0,3.379324473333251,0.002253896833250933,0.8264711571666666,2.5505994193333335,1.6768332595044437e-06,3.3793261501665106,166.0,96.0,262.0,197.9510580474464,155.69909879219242,353.65015683963884,0.0,1.7682507841981942e-05,0.0,1.7682507841981942e-05,6.761291942629953e-05,1352.2583885259908,197.9510580474464,756.9682489041712,,Llama 3.2 3B | CPU / num_gpu=0
summarization,Llama 3.2 3B,llama3.2:3b,gpu,A100 40GB / Ollama GPU,0.6512437918333944,0.002088453333394367,0.021468247833333332,0.6276870906666666,1.7869999737740727e-06,0.6512455788333682,166.0,96.0,262.0,3.0002026457259814,106.38109923311193,109.3813018788379,0.0,5.469065093941895e-06,0.0,5.469065093941895e-06,2.093875057232206e-05,418.77501144644117,106.38109923311193,407.3148208556253,,Llama 3.2 3B | A100 40GB / Ollama GPU
summarization,Mistral Small 3.2 24B,mistral-small3.2:24b,cpu,CPU / num_gpu=0,18.617600027166645,0.00360031149997885,5.9813955021666665,12.6326042135,2.1768332771898713e-06,18.617602203999922,148.33333333333334,96.0,244.33333333333334,1187.6885644596266,867.5345294708906,2055.223093930517,0.0,0.00010276115469650103,0.0,0.00010276115469650103,0.00042149268409245004,8429.853681849789,1187.6885644596266,4871.311152002472,,Mistral Small 3.2 24B | CPU / num_gpu=0
summarization,Mistral Small 3.2 24B,mistral-small3.2:24b,gpu,A100 40GB / Ollama GPU,1.8956313294999443,0.0030202138332775,0.08847902216666666,1.8041320935,1.9566666651371634e-06,1.8956332861666094,148.33333333333334,96.0,244.33333333333334,9.156886988008871,553.7842255683595,562.9411125563684,0.0,2.814705562781842e-05,0.0,2.814705562781842e-05,0.00011555876523413332,2311.1753046834897,553.7842255683595,2273.5776110918,,Mistral Small 3.2 24B | A100 40GB / Ollama GPU
